name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
tensorflow,tensorflow,C++,197088,76060,197088,2867,2015-11-07 01:19:20+00:00,2026-08-16 19:24:04+00:00,Apache License 2.0
transformers,huggingface,Python,164163,34256,164163,2383,2018-10-29 13:56:00+00:00,2026-08-16 19:39:45+00:00,Apache License 2.0
ML-For-Beginners,microsoft,Jupyter Notebook,89440,21953,89440,11,2021-03-03 01:34:05+00:00,2026-08-16 19:51:57+00:00,MIT License
funNLP,fighting41love,Python,82501,15267,82501,53,2018-08-21 11:20:39+00:00,2026-08-16 19:18:33+00:00,Unknown
awesome-machine-learning,josephmisiti,Python,74035,15612,74035,24,2014-07-15 19:11:19+00:00,2026-08-16 17:16:22+00:00,Other
scikit-learn,scikit-learn,Python,66964,27292,66964,2129,2010-08-17 09:43:38+00:00,2026-08-16 19:21:03+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
gradio,gradio-app,Python,43370,3574,43370,184,2018-12-19 08:24:04+00:00,2026-08-16 15:26:51+00:00,Apache License 2.0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,36304,7436,36304,67,2021-01-02 12:08:37+00:00,2026-08-16 19:50:48+00:00,Unknown
C-Plus-Plus,TheAlgorithms,C++,34581,7852,34581,32,2016-07-16 10:19:45+00:00,2026-08-16 17:00:55+00:00,MIT License
netron,lutzroeder,JavaScript,33362,3172,33362,16,2010-12-26 12:53:43+00:00,2026-08-16 17:38:18+00:00,MIT License
ML-From-Scratch,eriklindernoren,Python,32478,5430,32478,78,2017-02-05 12:11:23+00:00,2026-08-16 18:37:07+00:00,MIT License
applied-ml,eugeneyan,Unknown,30048,3990,30048,8,2020-07-04 18:57:47+00:00,2026-08-16 19:45:40+00:00,MIT License
machine-learning-for-software-engineers,ZuzooVn,Unknown,28860,6148,28860,32,2016-10-09 21:20:25+00:00,2026-08-15 19:57:02+00:00,Creative Commons Attribution Share Alike 4.0 International
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28812,12912,28812,21,2019-07-13 19:52:56+00:00,2026-08-16 15:17:37+00:00,GNU Affero General Public License v3.0
cs249r_book,harvard-edge,Python,27939,3525,27939,32,2023-09-06 19:31:06+00:00,2026-08-16 18:20:53+00:00,Other
shap,shap,Jupyter Notebook,25686,3740,25686,1012,2016-11-22 19:17:08+00:00,2026-08-16 11:03:39+00:00,MIT License
homemade-machine-learning,trekhleb,Jupyter Notebook,24758,4195,24758,31,2018-11-01 04:34:19+00:00,2026-08-16 13:19:22+00:00,MIT License
Paddle,PaddlePaddle,C++,24053,6014,24053,1522,2016-08-15 06:59:08+00:00,2026-08-16 15:48:15+00:00,Apache License 2.0
best-of-ml-python,lukasmasuch,Unknown,23716,3140,23716,52,2020-11-29 19:41:36+00:00,2026-08-16 15:57:54+00:00,Creative Commons Attribution Share Alike 4.0 International
C,TheAlgorithms,C,22333,4767,22333,18,2016-07-16 10:17:03+00:00,2026-08-16 16:56:03+00:00,GNU General Public License v3.0
onnx,onnx,Python,21318,4000,21318,278,2017-09-07 04:53:45+00:00,2026-08-16 19:46:35+00:00,Apache License 2.0
rasa,RasaHQ,Python,21296,4919,21296,153,2016-10-14 12:27:49+00:00,2026-08-16 11:07:02+00:00,Apache License 2.0
video2x,k4yt3x,C++,20945,1814,20945,129,2018-02-24 16:34:41+00:00,2026-08-16 20:02:15+00:00,GNU Affero General Public License v3.0
